,,,,,
model name : AMD FX(tm)-8350 Eight-Core Processor,,,,,
user, host, threads, particles, grainsize, seconds
nu11, <unknown>,1,40000000,1000,2.65815
nu11, <unknown>,1,40000000,900,2.66289
nu11, <unknown>,1,40000000,800,2.66237
nu11, <unknown>,1,40000000,700,2.66807
nu11, <unknown>,1,40000000,600,2.67014
nu11, <unknown>,1,40000000,500,2.6812
nu11, <unknown>,1,40000000,400,2.68993
nu11, <unknown>,1,40000000,300,2.70919
nu11, <unknown>,1,40000000,200,2.72484
nu11, <unknown>,1,40000000,100,2.77932
nu11, <unknown>,1,40000000,90,2.79103
nu11, <unknown>,1,40000000,80,2.80318
nu11, <unknown>,1,40000000,70,2.81823
nu11, <unknown>,1,40000000,60,2.83775
nu11, <unknown>,1,40000000,50,2.86467
nu11, <unknown>,1,40000000,40,2.9141
nu11, <unknown>,1,40000000,30,2.97318
nu11, <unknown>,1,40000000,20,3.10233
nu11, <unknown>,1,40000000,10,3.48899
nu11, <unknown>,1,40000000,9,3.53961
nu11, <unknown>,1,40000000,8,3.66423
nu11, <unknown>,1,40000000,7,3.79357
nu11, <unknown>,1,40000000,6,3.99707
nu11, <unknown>,1,40000000,5,4.28429
nu11, <unknown>,1,40000000,4,4.67007
nu11, <unknown>,1,40000000,3,5.47998
nu11, <unknown>,1,40000000,2,7.28353
nu11, <unknown>,1,40000000,1,7.27588
,,,,,
model name : AMD FX(tm)-8350 Eight-Core Processor,,,,,
user, host, threads, particles, grainsize, seconds
nu11, <unknown>,4,40000000,1000,0.919336
nu11, <unknown>,4,40000000,900,0.925714
nu11, <unknown>,4,40000000,800,0.924195
nu11, <unknown>,4,40000000,700,0.928291
nu11, <unknown>,4,40000000,600,0.938058
nu11, <unknown>,4,40000000,500,0.955066
nu11, <unknown>,4,40000000,400,0.966897
nu11, <unknown>,4,40000000,300,0.997902
,,,,,
model name : AMD FX(tm)-8350 Eight-Core Processor,,,,,
user, host, threads, particles, grainsize, seconds
nu11, <unknown>,4,40000000,1000,0.844991
nu11, <unknown>,4,40000000,900,0.857145
nu11, <unknown>,4,40000000,800,0.884207
nu11, <unknown>,4,40000000,700,0.853861
nu11, <unknown>,4,40000000,600,0.85501
nu11, <unknown>,4,40000000,500,0.852205
nu11, <unknown>,4,40000000,400,0.853579
nu11, <unknown>,4,40000000,300,0.861898
nu11, <unknown>,4,40000000,200,0.879395
nu11, <unknown>,4,40000000,100,0.890449
nu11, <unknown>,4,40000000,90,0.896488
nu11, <unknown>,4,40000000,80,0.906154
nu11, <unknown>,4,40000000,70,0.903685
nu11, <unknown>,4,40000000,60,0.919767
nu11, <unknown>,4,40000000,50,0.963509
nu11, <unknown>,4,40000000,40,0.995797
nu11, <unknown>,4,40000000,30,1.0478
nu11, <unknown>,4,40000000,20,1.18182
nu11, <unknown>,4,40000000,10,1.56757
nu11, <unknown>,4,40000000,9,1.62811
nu11, <unknown>,4,40000000,8,1.66809
nu11, <unknown>,4,40000000,7,1.8173
nu11, <unknown>,4,40000000,6,2.09664
nu11, <unknown>,4,40000000,5,2.48735
nu11, <unknown>,4,40000000,4,3.00937
nu11, <unknown>,4,40000000,3,4.28696
nu11, <unknown>,4,40000000,2,7.2984
nu11, <unknown>,4,40000000,1,7.34731
